File,Meth,FSize,MDepth,MSize,Entropy
bib,HashCTW,111261,1,32768,390426.9
bib,HashSM1PF,111261,1,32768,437989
bib,HashSMUKN,111261,1,32768,385249.9
bib,HashPPMDP,111261,1,32768,383629.7
bib,HashPPMDPFull,111261,1,32768,384095.9
bib,FNVHashCTW,111261,1,32768,390426.9
bib,FNVHashSM1PF,111261,1,32768,437989
bib,FNVHashSMUKN,111261,1,32768,385249.9
bib,FNVHashPPMDP,111261,1,32768,383629.7
bib,FNVHashPPMDPFull,111261,1,32768,384095.9
bib,AmnesiaCTW,111261,1,32768,390367.5
bib,AmnesiaSM1PF,111261,1,32768,437989
bib,AmnesiaSMUKN,111261,1,32768,385249.9
bib,AmnesiaPPMDP,111261,1,32768,636111.5
bib,AmnesiaPPMDPFull,111261,1,32768,581878.4
bib,HashCTW,111261,1,65536,390426.9
bib,HashSM1PF,111261,1,65536,437989
bib,HashSMUKN,111261,1,65536,385249.9
bib,HashPPMDP,111261,1,65536,383629.7
bib,HashPPMDPFull,111261,1,65536,384095.9
bib,FNVHashCTW,111261,1,65536,390426.9
bib,FNVHashSM1PF,111261,1,65536,437989
bib,FNVHashSMUKN,111261,1,65536,385249.9
bib,FNVHashPPMDP,111261,1,65536,383629.7
bib,FNVHashPPMDPFull,111261,1,65536,384095.9
bib,AmnesiaCTW,111261,1,65536,390367.5
bib,AmnesiaSM1PF,111261,1,65536,437989
bib,AmnesiaSMUKN,111261,1,65536,385249.9
bib,AmnesiaPPMDP,111261,1,65536,636111.5
bib,AmnesiaPPMDPFull,111261,1,65536,581878.4
bib,HashCTW,111261,1,131072,390426.9
bib,HashSM1PF,111261,1,131072,437989
bib,HashSMUKN,111261,1,131072,385249.9
bib,HashPPMDP,111261,1,131072,383629.7
bib,HashPPMDPFull,111261,1,131072,384095.9
bib,FNVHashCTW,111261,1,131072,390426.9
bib,FNVHashSM1PF,111261,1,131072,437989
bib,FNVHashSMUKN,111261,1,131072,385249.9
bib,FNVHashPPMDP,111261,1,131072,383629.7
bib,FNVHashPPMDPFull,111261,1,131072,384095.9
bib,AmnesiaCTW,111261,1,131072,390367.5
bib,AmnesiaSM1PF,111261,1,131072,437989
bib,AmnesiaSMUKN,111261,1,131072,385249.9
bib,AmnesiaPPMDP,111261,1,131072,636111.5
bib,AmnesiaPPMDPFull,111261,1,131072,581878.4
bib,HashCTW,111261,1,262144,390426.9
bib,HashSM1PF,111261,1,262144,437989
bib,HashSMUKN,111261,1,262144,385249.9
bib,HashPPMDP,111261,1,262144,383629.7
bib,HashPPMDPFull,111261,1,262144,384095.9
bib,FNVHashCTW,111261,1,262144,390426.9
bib,FNVHashSM1PF,111261,1,262144,437989
bib,FNVHashSMUKN,111261,1,262144,385249.9
bib,FNVHashPPMDP,111261,1,262144,383629.7
bib,FNVHashPPMDPFull,111261,1,262144,384095.9
bib,AmnesiaCTW,111261,1,262144,390367.5
bib,AmnesiaSM1PF,111261,1,262144,437989
bib,AmnesiaSMUKN,111261,1,262144,385249.9
bib,AmnesiaPPMDP,111261,1,262144,636111.5
bib,AmnesiaPPMDPFull,111261,1,262144,581878.4
bib,HashCTW,111261,1,524288,390426.9
bib,HashSM1PF,111261,1,524288,437989
bib,HashSMUKN,111261,1,524288,385249.9
bib,HashPPMDP,111261,1,524288,383629.7
bib,HashPPMDPFull,111261,1,524288,384095.9
bib,FNVHashCTW,111261,1,524288,390426.9
bib,FNVHashSM1PF,111261,1,524288,437989
bib,FNVHashSMUKN,111261,1,524288,385249.9
bib,FNVHashPPMDP,111261,1,524288,383629.7
bib,FNVHashPPMDPFull,111261,1,524288,384095.9
bib,AmnesiaCTW,111261,1,524288,390367.5
bib,AmnesiaSM1PF,111261,1,524288,437989
bib,AmnesiaSMUKN,111261,1,524288,385249.9
bib,AmnesiaPPMDP,111261,1,524288,636111.5
bib,AmnesiaPPMDPFull,111261,1,524288,581878.4
bib,HashCTW,111261,1,1048576,390426.9
bib,HashSM1PF,111261,1,1048576,437989
bib,HashSMUKN,111261,1,1048576,385249.9
bib,HashPPMDP,111261,1,1048576,383629.7
bib,HashPPMDPFull,111261,1,1048576,384095.9
bib,FNVHashCTW,111261,1,1048576,390426.9
bib,FNVHashSM1PF,111261,1,1048576,437989
bib,FNVHashSMUKN,111261,1,1048576,385249.9
bib,FNVHashPPMDP,111261,1,1048576,383629.7
bib,FNVHashPPMDPFull,111261,1,1048576,384095.9
bib,AmnesiaCTW,111261,1,1048576,390367.5
bib,AmnesiaSM1PF,111261,1,1048576,437989
bib,AmnesiaSMUKN,111261,1,1048576,385249.9
