File,Meth,FSize,MDepth,MSize,Entropy
book1,AmnesiaCTW,768771,1,8192,2795502
book1,AmnesiaSMUKN,768771,1,8192,2783677
book1,AmnesiaPPMDP,768771,1,8192,2774856
book1,HashCTW,768771,1,16384,2795542
book1,HashSMUKN,768771,1,16384,2783677
book1,HashPPMDP,768771,1,16384,2774856
book1,AmnesiaCTW,768771,1,16384,2795502
book1,AmnesiaSMUKN,768771,1,16384,2783677
book1,AmnesiaPPMDP,768771,1,16384,2774856
book1,HashCTW,768771,1,32768,2795542
book1,HashSMUKN,768771,1,32768,2783677
book1,HashPPMDP,768771,1,32768,2774856
book1,AmnesiaCTW,768771,1,32768,2795502
book1,AmnesiaSMUKN,768771,1,32768,2783677
book1,AmnesiaPPMDP,768771,1,32768,2774856
book1,HashCTW,768771,1,65536,2795542
book1,HashSMUKN,768771,1,65536,2783677
book1,HashPPMDP,768771,1,65536,2774856
book1,AmnesiaCTW,768771,1,65536,2795502
book1,AmnesiaSMUKN,768771,1,65536,2783677
book1,AmnesiaPPMDP,768771,1,65536,2774856
book1,HashCTW,768771,1,131072,2795542
book1,HashSMUKN,768771,1,131072,2783677
book1,HashPPMDP,768771,1,131072,2774856
book1,AmnesiaCTW,768771,1,131072,2795502
book1,AmnesiaSMUKN,768771,1,131072,2783677
book1,AmnesiaPPMDP,768771,1,131072,2774856
book1,HashCTW,768771,1,262144,2795542
book1,HashSMUKN,768771,1,262144,2783677
book1,HashPPMDP,768771,1,262144,2774856
book1,AmnesiaCTW,768771,1,262144,2795502
book1,AmnesiaSMUKN,768771,1,262144,2783677
book1,AmnesiaPPMDP,768771,1,262144,2774856
book1,HashCTW,768771,1,524288,2795542
book1,HashSMUKN,768771,1,524288,2783677
book1,HashPPMDP,768771,1,524288,2774856
book1,AmnesiaCTW,768771,1,524288,2795502
book1,AmnesiaSMUKN,768771,1,524288,2783677
book1,AmnesiaPPMDP,768771,1,524288,2774856
book1,HashCTW,768771,1,1048576,2795542
book1,HashSMUKN,768771,1,1048576,2783677
book1,HashPPMDP,768771,1,1048576,2774856
book1,AmnesiaCTW,768771,1,1048576,2795502
book1,AmnesiaSMUKN,768771,1,1048576,2783677
book1,AmnesiaPPMDP,768771,1,1048576,2774856
book2,CTW,610856,1,97,2298937
book2,SMUKN,610856,1,97,2289325
book2,PPMDP,610856,1,97,2281948
book2,HashCTW,610856,1,128,2299099
book2,HashSMUKN,610856,1,128,2289464
book2,HashPPMDP,610856,1,128,2282114
book2,AmnesiaCTW,610856,1,128,2298937
book2,AmnesiaSMUKN,610856,1,128,2289325
book2,AmnesiaPPMDP,610856,1,128,2281948
book2,HashCTW,610856,1,256,2299099
book2,HashSMUKN,610856,1,256,2289464
book2,HashPPMDP,610856,1,256,2282114
book2,AmnesiaCTW,610856,1,256,2298937
book2,AmnesiaSMUKN,610856,1,256,2289325
book2,AmnesiaPPMDP,610856,1,256,2281948
book2,HashCTW,610856,1,512,2299099
book2,HashSMUKN,610856,1,512,2289464
book2,HashPPMDP,610856,1,512,2282114
book2,AmnesiaCTW,610856,1,512,2298937
book2,AmnesiaSMUKN,610856,1,512,2289325
book2,AmnesiaPPMDP,610856,1,512,2281948
book2,HashCTW,610856,1,1024,2298987
book2,HashSMUKN,610856,1,1024,2289325
book2,HashPPMDP,610856,1,1024,2281948
book2,AmnesiaCTW,610856,1,1024,2298937
book2,AmnesiaSMUKN,610856,1,1024,2289325
book2,AmnesiaPPMDP,610856,1,1024,2281948
book2,HashCTW,610856,1,2048,2298987
book2,HashSMUKN,610856,1,2048,2289325
book2,HashPPMDP,610856,1,2048,2281948
book2,AmnesiaCTW,610856,1,2048,2298937
book2,AmnesiaSMUKN,610856,1,2048,2289325
book2,AmnesiaPPMDP,610856,1,2048,2281948
book2,HashCTW,610856,1,4096,2298987
book2,HashSMUKN,610856,1,4096,2289325
book2,HashPPMDP,610856,1,4096,2281948
book2,AmnesiaCTW,610856,1,4096,2298937
book2,AmnesiaSMUKN,610856,1,4096,2289325
book2,AmnesiaPPMDP,610856,1,4096,2281948
book2,HashCTW,610856,1,8192,2298987
book2,HashSMUKN,610856,1,8192,2289325
book2,HashPPMDP,610856,1,8192,2281948
book2,AmnesiaCTW,610856,1,8192,2298937
book2,AmnesiaSMUKN,610856,1,8192,2289325
book2,AmnesiaPPMDP,610856,1,8192,2281948
book2,HashCTW,610856,1,16384,2298987
book2,HashSMUKN,610856,1,16384,2289325
book2,HashPPMDP,610856,1,16384,2281948
book2,AmnesiaCTW,610856,1,16384,2298937
book2,AmnesiaSMUKN,610856,1,16384,2289325
book2,AmnesiaPPMDP,610856,1,16384,2281948
book2,HashCTW,610856,1,32768,2298987
book2,HashSMUKN,610856,1,32768,2289325
book2,HashPPMDP,610856,1,32768,2281948
book2,AmnesiaCTW,610856,1,32768,2298937
book2,AmnesiaSMUKN,610856,1,32768,2289325
book2,AmnesiaPPMDP,610856,1,32768,2281948
book2,HashCTW,610856,1,65536,2298987
book2,HashSMUKN,610856,1,65536,2289325
book2,HashPPMDP,610856,1,65536,2281948
book2,AmnesiaCTW,610856,1,65536,2298937
book2,AmnesiaSMUKN,610856,1,65536,2289325
book2,AmnesiaPPMDP,610856,1,65536,2281948
book2,HashCTW,610856,1,131072,2298987
book2,HashSMUKN,610856,1,131072,2289325
book2,HashPPMDP,610856,1,131072,2281948
book2,AmnesiaCTW,610856,1,131072,2298937
book2,AmnesiaSMUKN,610856,1,131072,2289325
book2,AmnesiaPPMDP,610856,1,131072,2281948
book2,HashCTW,610856,1,262144,2298987
book2,HashSMUKN,610856,1,262144,2289325
book2,HashPPMDP,610856,1,262144,2281948
book2,AmnesiaCTW,610856,1,262144,2298937
book2,AmnesiaSMUKN,610856,1,262144,2289325
book2,AmnesiaPPMDP,610856,1,262144,2281948
book2,HashCTW,610856,1,524288,2298987
book2,HashSMUKN,610856,1,524288,2289325
book2,HashPPMDP,610856,1,524288,2281948
book2,AmnesiaCTW,610856,1,524288,2298937
book2,AmnesiaSMUKN,610856,1,524288,2289325
book2,AmnesiaPPMDP,610856,1,524288,2281948
book2,HashCTW,610856,1,1048576,2298987
book2,HashSMUKN,610856,1,1048576,2289325
book2,HashPPMDP,610856,1,1048576,2281948
book2,AmnesiaCTW,610856,1,1048576,2298937
book2,AmnesiaSMUKN,610856,1,1048576,2289325
book2,AmnesiaPPMDP,610856,1,1048576,2281948
geo,CTW,102400,1,257,496557.1
geo,SMUKN,102400,1,257,473203.8
geo,PPMDP,102400,1,257,477031
geo,HashCTW,102400,1,128,494737
geo,HashSMUKN,102400,1,128,477572.2
geo,HashPPMDP,102400,1,128,480791.2
geo,AmnesiaCTW,102400,1,128,612284.4
geo,AmnesiaSMUKN,102400,1,128,606399.2
geo,AmnesiaPPMDP,102400,1,128,570963.1
geo,HashCTW,102400,1,256,496782.5
geo,HashSMUKN,102400,1,256,473219.9
geo,HashPPMDP,102400,1,256,477046
geo,AmnesiaCTW,102400,1,256,531584.4
geo,AmnesiaSMUKN,102400,1,256,493852.3
geo,AmnesiaPPMDP,102400,1,256,498386
geo,HashCTW,102400,1,512,496782.5
geo,HashSMUKN,102400,1,512,473219.9
geo,HashPPMDP,102400,1,512,477046
geo,AmnesiaCTW,102400,1,512,496557.1
geo,AmnesiaSMUKN,102400,1,512,473203.8
geo,AmnesiaPPMDP,102400,1,512,477031
geo,HashCTW,102400,1,1024,496764.5
geo,HashSMUKN,102400,1,1024,473203.8
geo,HashPPMDP,102400,1,1024,477031
geo,AmnesiaCTW,102400,1,1024,496557.1
geo,AmnesiaSMUKN,102400,1,1024,473203.8
geo,AmnesiaPPMDP,102400,1,1024,477031
geo,HashCTW,102400,1,2048,496764.5
geo,HashSMUKN,102400,1,2048,473203.8
geo,HashPPMDP,102400,1,2048,477031
geo,AmnesiaCTW,102400,1,2048,496557.1
geo,AmnesiaSMUKN,102400,1,2048,473203.8
geo,AmnesiaPPMDP,102400,1,2048,477031
geo,HashCTW,102400,1,4096,496764.5
geo,HashSMUKN,102400,1,4096,473203.8
geo,HashPPMDP,102400,1,4096,477031
geo,AmnesiaCTW,102400,1,4096,496557.1
geo,AmnesiaSMUKN,102400,1,4096,473203.8
geo,AmnesiaPPMDP,102400,1,4096,477031
geo,HashCTW,102400,1,8192,496764.5
geo,HashSMUKN,102400,1,8192,473203.8
geo,HashPPMDP,102400,1,8192,477031
geo,AmnesiaCTW,102400,1,8192,496557.1
geo,AmnesiaSMUKN,102400,1,8192,473203.8
geo,AmnesiaPPMDP,102400,1,8192,477031
geo,HashCTW,102400,1,16384,496764.5
geo,HashSMUKN,102400,1,16384,473203.8
geo,HashPPMDP,102400,1,16384,477031
geo,AmnesiaCTW,102400,1,16384,496557.1
geo,AmnesiaSMUKN,102400,1,16384,473203.8
geo,AmnesiaPPMDP,102400,1,16384,477031
geo,HashCTW,102400,1,32768,496764.5
geo,HashSMUKN,102400,1,32768,473203.8
geo,HashPPMDP,102400,1,32768,477031
geo,AmnesiaCTW,102400,1,32768,496557.1
geo,AmnesiaSMUKN,102400,1,32768,473203.8
geo,AmnesiaPPMDP,102400,1,32768,477031
geo,HashCTW,102400,1,65536,496764.5
geo,HashSMUKN,102400,1,65536,473203.8
geo,HashPPMDP,102400,1,65536,477031
geo,AmnesiaCTW,102400,1,65536,496557.1
geo,AmnesiaSMUKN,102400,1,65536,473203.8
geo,AmnesiaPPMDP,102400,1,65536,477031
geo,HashCTW,102400,1,131072,496764.5
geo,HashSMUKN,102400,1,131072,473203.8
geo,HashPPMDP,102400,1,131072,477031
geo,AmnesiaCTW,102400,1,131072,496557.1
geo,AmnesiaSMUKN,102400,1,131072,473203.8
geo,AmnesiaPPMDP,102400,1,131072,477031
geo,HashCTW,102400,1,262144,496764.5
geo,HashSMUKN,102400,1,262144,473203.8
geo,HashPPMDP,102400,1,262144,477031
geo,AmnesiaCTW,102400,1,262144,496557.1
geo,AmnesiaSMUKN,102400,1,262144,473203.8
geo,AmnesiaPPMDP,102400,1,262144,477031
geo,HashCTW,102400,1,524288,496764.5
geo,HashSMUKN,102400,1,524288,473203.8
geo,HashPPMDP,102400,1,524288,477031
geo,AmnesiaCTW,102400,1,524288,496557.1
geo,AmnesiaSMUKN,102400,1,524288,473203.8
geo,AmnesiaPPMDP,102400,1,524288,477031
geo,HashCTW,102400,1,1048576,496764.5
geo,HashSMUKN,102400,1,1048576,473203.8
geo,HashPPMDP,102400,1,1048576,477031
geo,AmnesiaCTW,102400,1,1048576,496557.1
geo,AmnesiaSMUKN,102400,1,1048576,473203.8
geo,AmnesiaPPMDP,102400,1,1048576,477031
news,CTW,377109,1,99,1568411
news,SMUKN,377109,1,99,1559342
news,PPMDP,377109,1,99,1554930
news,HashCTW,377109,1,128,1570049
news,HashSMUKN,377109,1,128,1560391
news,HashPPMDP,377109,1,128,1555964
news,AmnesiaCTW,377109,1,128,1568411
news,AmnesiaSMUKN,377109,1,128,1559342
news,AmnesiaPPMDP,377109,1,128,1554930
news,HashCTW,377109,1,256,1570049
news,HashSMUKN,377109,1,256,1560391
news,HashPPMDP,377109,1,256,1555964
news,AmnesiaCTW,377109,1,256,1568411
news,AmnesiaSMUKN,377109,1,256,1559342
news,AmnesiaPPMDP,377109,1,256,1554930
news,HashCTW,377109,1,512,1570049
news,HashSMUKN,377109,1,512,1560391
news,HashPPMDP,377109,1,512,1555964
news,AmnesiaCTW,377109,1,512,1568411
news,AmnesiaSMUKN,377109,1,512,1559342
news,AmnesiaPPMDP,377109,1,512,1554930
news,HashCTW,377109,1,1024,1568498
news,HashSMUKN,377109,1,1024,1559342
news,HashPPMDP,377109,1,1024,1554930
news,AmnesiaCTW,377109,1,1024,1568411
news,AmnesiaSMUKN,377109,1,1024,1559342
news,AmnesiaPPMDP,377109,1,1024,1554930
news,HashCTW,377109,1,2048,1568498
news,HashSMUKN,377109,1,2048,1559342
