File,Meth,Depth,Entropy
news,Hash512,1,1570049
news,Hash512,2,1493986
news,Hash512,3,1561403
news,Hash512,4,1609889
news,Hash512,5,1648855
news,Hash512,6,1671259
news,Hash512,7,1688689
news,Hash512,8,1703295
news,Hash512,9,1724332
news,Hash1024,1,1568498
news,Hash1024,2,1427767
news,Hash1024,3,1479629
news,Hash1024,4,1524656
news,Hash1024,5,1560948
news,Hash1024,6,1592761
news,Hash1024,7,1617216
news,Hash1024,8,1641261
news,Hash1024,9,1662677
news,Hash2048,1,1568498
news,Hash2048,2,1381104
news,Hash2048,3,1399904
news,Hash2048,4,1444370
news,Hash2048,5,1476782
news,Hash2048,6,1513261
news,Hash2048,7,1535655
news,Hash2048,8,1556157
news,Hash2048,9,1568894
news,Hash4096,1,1568498
news,Hash4096,2,1357622
news,Hash4096,3,1336101
news,Hash4096,4,1371498
news,Hash4096,5,1403291
news,Hash4096,6,1424736
news,Hash4096,7,1450102
news,Hash4096,8,1466073
news,Hash4096,9,1483698
news,Hash8192,1,1568498
news,Hash8192,2,1345586
news,Hash8192,3,1291701
news,Hash8192,4,1310460
news,Hash8192,5,1335532
news,Hash8192,6,1358941
news,Hash8192,7,1375927
news,Hash8192,8,1392079
news,Hash8192,9,1406621
news,Hash16384,1,1568498
news,Hash16384,2,1327883
news,Hash16384,3,1264068
news,Hash16384,4,1271784
news,Hash16384,5,1289652
news,Hash16384,6,1302655
news,Hash16384,7,1316718
news,Hash16384,8,1329818
news,Hash16384,9,1341462
news,Hash32768,1,1568498
news,Hash32768,2,1327883
news,Hash32768,3,1248251
news,Hash32768,4,1246749
news,Hash32768,5,1256316
news,Hash32768,6,1267078
news,Hash32768,7,1276341
news,Hash32768,8,1285470
news,Hash32768,9,1293406
news,Hash65536,1,1568498
news,Hash65536,2,1327883
news,Hash65536,3,1240557
news,Hash65536,4,1231856
news,Hash65536,5,1235784
news,Hash65536,6,1241223
news,Hash65536,7,1247248
news,Hash65536,8,1252741
news,Hash65536,9,1258204
news,Hash131072,1,1568498
news,Hash131072,2,1327883
news,Hash131072,3,1231625
news,Hash131072,4,1220268
news,Hash131072,5,1221782
