File,Alphabet,TS,Depth,Entropy
geo,Byte,65536,1,496764.5
geo,Byte,65536,2,499219.4
geo,Byte,65536,3,520707.7
geo,Byte,65536,4,508352.4
geo,Byte,65536,5,509122.2
geo,Byte,65536,6,509733.2
geo,Byte,65536,7,510389.7
geo,Byte,65536,8,511269.9
geo,Byte,65536,9,512135.3
geo,Byte,131072,1,496764.5
geo,Byte,131072,2,499219.4
geo,Byte,131072,3,521799.5
geo,Byte,131072,4,507968.8
geo,Byte,131072,5,508094
geo,Byte,131072,6,507977.5
geo,Byte,131072,7,507998.5
geo,Byte,131072,8,508628.8
geo,Byte,131072,9,509044.7
geo,Byte,262144,1,496764.5
geo,Byte,262144,2,499219.4
geo,Byte,262144,3,521841
geo,Byte,262144,4,508009
geo,Byte,262144,5,506755.9
geo,Byte,262144,6,506748.5
geo,Byte,262144,7,507031.7
geo,Byte,262144,8,506857.2
geo,Byte,262144,9,507149.9
geo,Byte,524288,1,496764.5
geo,Byte,524288,2,499444.4
geo,Byte,524288,3,522032.4
geo,Byte,524288,4,506953.9
geo,Byte,524288,5,507393.2
geo,Byte,524288,6,506552.2
geo,Byte,524288,7,507314.8
geo,Byte,524288,8,506692.7
geo,Byte,524288,9,507393
news,Byte,128,1,1570049
news,Byte,128,2,1638784
news,Byte,128,3,1704070
news,Byte,128,4,1752846
news,Byte,128,5,1754359
news,Byte,128,6,1791021
news,Byte,128,7,1832059
news,Byte,128,8,1820721
news,Byte,128,9,1855545
news,Byte,256,1,1570049
news,Byte,256,2,1566149
news,Byte,256,3,1643483
news,Byte,256,4,1684599
news,Byte,256,5,1713328
news,Byte,256,6,1737853
news,Byte,256,7,1774359
news,Byte,256,8,1779086
news,Byte,256,9,1812267
news,Byte,512,1,1570049
news,Byte,512,2,1493986
news,Byte,512,3,1561403
news,Byte,512,4,1609889
news,Byte,512,5,1648855
news,Byte,512,6,1671259
news,Byte,512,7,1688689
news,Byte,512,8,1703295
news,Byte,512,9,1724332
news,Byte,1024,1,1568498
news,Byte,1024,2,1427767
news,Byte,1024,3,1479629
news,Byte,1024,4,1524656
news,Byte,1024,5,1560948
news,Byte,1024,6,1592761
news,Byte,1024,7,1617216
news,Byte,1024,8,1641261
news,Byte,1024,9,1662677
news,Byte,2048,1,1568498
news,Byte,2048,2,1381104
news,Byte,2048,3,1399904
news,Byte,2048,4,1444370
news,Byte,2048,5,1476782
news,Byte,2048,6,1513261
news,Byte,2048,7,1535655
news,Byte,2048,8,1556157
news,Byte,2048,9,1568894
news,Byte,4096,1,1568498
news,Byte,4096,2,1357622
news,Byte,4096,3,1336101
news,Byte,4096,4,1371498
news,Byte,4096,5,1403291
news,Byte,4096,6,1424736
news,Byte,4096,7,1450102
news,Byte,4096,8,1466073
news,Byte,4096,9,1483698
news,Byte,8192,1,1568498
news,Byte,8192,2,1345586
news,Byte,8192,3,1291701
news,Byte,8192,4,1310460
news,Byte,8192,5,1335532
news,Byte,8192,6,1358941
news,Byte,8192,7,1375927
